snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2016-12-31,field_total,ALL,All linguistics (union),97465,97544,1.0,1.0,0.0,0,spine-year,
2016-12-31,construct,ox_language_studies,Language Studies,8802,8690,0.090309342,0.089088001,0.001221341,1,spine-year,openalex
2016-12-31,construct,ox_language_learning,Language Learning,4318,4324,0.044303083,0.044328713,-2.563e-05,2,spine-year,openalex
2016-12-31,construct,ox_learners,Learners,4016,4143,0.041204535,0.04247314,-0.001268605,3,spine-year,openalex
2016-12-31,construct,ox_language_teaching,Language Teaching,3532,3534,0.03623865,0.036229804,8.846e-06,4,spine-year,openalex
2016-12-31,construct,ox_meaning,Meaning,3476,3673,0.035664085,0.037654802,-0.001990717,5,spine-year,openalex
2016-12-31,construct,ox_corpus,Corpus,3318,3207,0.03404299,0.032877471,0.001165519,6,spine-year,openalex
2016-12-31,construct,ox_grammar,Grammar,2547,2548,0.026132458,0.026121545,1.0913e-05,7,spine-year,openalex
2016-12-31,construct,ox_language_education,Language Education,2332,2226,0.023926538,0.022820471,0.001106067,8,spine-year,openalex
2016-12-31,construct,ox_grammaticalization,Grammaticalization,2147,2251,0.02202842,0.023076765,-0.001048345,9,spine-year,openalex
2016-12-31,construct,ox_language_change,Language Change,2072,2095,0.021258913,0.021477487,-0.000218574,10,spine-year,openalex
2016-12-31,construct,ox_dialects,Dialects,1918,1964,0.019678859,0.020134503,-0.000455644,11,spine-year,openalex
2016-12-31,construct,ox_pragmatics,Pragmatics,1779,1993,0.018252706,0.020431805,-0.002179099,12,spine-year,openalex
2016-12-31,construct,ox_dictionaries,Dictionaries,1736,1972,0.017811522,0.020216518,-0.002404996,13,spine-year,openalex
2016-12-31,construct,ox_bilingual,Bilingual,1709,1407,0.0175345,0.01442426,0.00311024,14,spine-year,openalex
2016-12-31,construct,ox_bilingualism,Bilingualism,1709,1407,0.0175345,0.01442426,0.00311024,15,spine-year,openalex
2016-12-31,construct,ox_discourse_study,Discourse Study,1452,1506,0.014897656,0.015439186,-0.000541531,16,spine-year,openalex
2016-12-31,construct,ox_morphology,Morphology,1404,1449,0.014405171,0.014854835,-0.000449664,17,spine-year,openalex
2016-12-31,construct,ox_perception,Perception,1391,1485,0.01427179,0.015223899,-0.000952109,18,spine-year,openalex
2016-12-31,construct,ox_sociolinguistics,Sociolinguistics,1354,1244,0.013892166,0.012753219,0.001138947,19,spine-year,openalex
2016-12-31,construct,ox_multilingualism,Multilingualism,1340,1240,0.013748525,0.012712212,0.001036313,20,spine-year,openalex
2016-12-31,construct,ox_pedagogy,Pedagogy,1327,1314,0.013615144,0.013470844,0.0001443,21,spine-year,openalex
2016-12-31,construct,ox_discourse_analysis,Discourse Analysis,1298,1372,0.013317601,0.014065447,-0.000747846,22,spine-year,openalex
2016-12-31,construct,ox_usage,Usage,1285,1401,0.01318422,0.014362749,-0.001178529,23,spine-year,openalex
2016-12-31,construct,ox_syntax,Syntax,1277,1295,0.013102139,0.01327606,-0.000173921,24,spine-year,openalex
2016-12-31,construct,ox_language_acquisition,Language Acquisition,1275,1287,0.013081619,0.013194046,-0.000112427,25,spine-year,openalex
2016-12-31,construct,ox_second_language_learning,Second Language Learning,1183,1247,0.01213769,0.012783974,-0.000646284,26,spine-year,openalex
2016-12-31,construct,ox_language_attitudes,Language Attitudes,1074,1063,0.01101934,0.010897646,0.000121694,27,spine-year,openalex
2016-12-31,construct,language_policy,Language policy,1066,1051,0.01093726,0.010774625,0.000162635,28,spine-year,curated
2016-12-31,construct,focus_on_form,Focus on form,1065,1076,0.010926999,0.011030919,-0.00010392,29,spine-year,curated
2016-12-31,construct,ox_semantics,Semantics,1004,1203,0.010301134,0.012332896,-0.002031762,30,spine-year,openalex
2016-12-31,construct,ox_teaching_methods,Teaching Methods,971,1008,0.009962551,0.010333798,-0.000371247,31,spine-year,openalex
2016-12-31,construct,ox_ideology,Ideology,970,960,0.009952291,0.009841712,0.000110578,32,spine-year,openalex
2016-12-31,construct,ox_structuralism,Structuralism,962,1021,0.00987021,0.010467071,-0.000596861,33,spine-year,openalex
2016-12-31,construct,ox_power,Power,932,946,0.009562407,0.009698187,-0.00013578,34,spine-year,openalex
2016-12-31,construct,ox_language_variation,Language Variation,906,905,0.009295645,0.009277864,1.778e-05,35,spine-year,openalex
2016-12-31,construct,ox_terminology,Terminology,905,1011,0.009285384,0.010364553,-0.001079169,36,spine-year,openalex
2016-12-31,construct,ox_cultural_translation,Cultural Translation,879,984,0.009018622,0.010087755,-0.001069133,37,spine-year,openalex
2016-12-31,construct,world_englishes,World Englishes,860,897,0.00882368,0.00919585,-0.00037217,38,spine-year,curated
2016-12-31,construct,ox_language_contact,Language Contact,798,856,0.008187555,0.008775527,-0.000587972,39,spine-year,openalex
2016-12-31,construct,ox_learning_strategies,Learning Strategies,781,821,0.008013133,0.008416715,-0.000403582,40,spine-year,openalex
2016-12-31,construct,ox_social_interaction,Social Interaction,699,782,0.007171805,0.008016895,-0.00084509,41,spine-year,openalex
2016-12-31,construct,ox_literature_analysis,Literature Analysis,694,732,0.007120505,0.007504306,-0.000383801,42,spine-year,openalex
2016-12-31,construct,ox_indexicality,Indexicality,689,824,0.007069204,0.00844747,-0.001378266,43,spine-year,openalex
2016-12-31,construct,ox_language_ideologies,Language Ideologies,682,637,0.006997384,0.006530386,0.000466997,44,spine-year,openalex
2016-12-31,construct,language_ideology,Language ideology,682,637,0.006997384,0.006530386,0.000466997,45,spine-year,curated
2016-12-31,construct,ox_second_language_acquisition,Second Language Acquisition,677,690,0.006946083,0.007073731,-0.000127648,46,spine-year,openalex
2016-12-31,construct,ox_literary_translation,Literary Translation,666,630,0.006833222,0.006458624,0.000374598,47,spine-year,openalex
2016-12-31,construct,ox_linguistic_identity,Linguistic Identity,635,607,0.006515159,0.006222833,0.000292327,48,spine-year,openalex
2016-12-31,construct,ox_language_learning_strategies,Language Learning Strategies,625,660,0.006412558,0.006766177,-0.000353619,49,spine-year,openalex
2016-12-31,construct,ox_conversation_analysis,Conversation Analysis,616,714,0.006320218,0.007319774,-0.000999556,50,spine-year,openalex
2016-12-31,construct,ox_social_communication,Social Communication,595,709,0.006104756,0.007268515,-0.001163759,51,spine-year,openalex
2016-12-31,construct,ox_language_diversity,Language Diversity,549,499,0.005632791,0.00511564,0.000517151,52,spine-year,openalex
2016-12-31,construct,ox_ethnography,Ethnography,548,500,0.005622531,0.005125892,0.000496639,53,spine-year,openalex
2016-12-31,construct,ox_foreign_language_education,Foreign Language Education,519,504,0.005324988,0.005166899,0.000158089,54,spine-year,openalex
2016-12-31,construct,ox_lexicography,Lexicography,498,529,0.005109526,0.005423194,-0.000313667,55,spine-year,openalex
2016-12-31,construct,ox_typology,typology,490,463,0.005027446,0.004746576,0.00028087,56,spine-year,openalex
2016-12-31,construct,ox_social_meaning,Social Meaning,478,495,0.004904325,0.005074633,-0.000170308,57,spine-year,openalex
2016-12-31,construct,ox_minority_languages,Minority Languages,442,458,0.004534961,0.004695317,-0.000160356,58,spine-year,openalex
2016-12-31,construct,ox_semiotics,Semiotics,434,426,0.004452881,0.00436726,8.5621e-05,59,spine-year,openalex
2016-12-31,construct,heritage_language,Heritage language,432,427,0.00443236,0.004377512,5.4849e-05,60,spine-year,curated
2016-12-31,construct,ox_accent,Accent,405,368,0.004155338,0.003772656,0.000382681,61,spine-year,openalex
2016-12-31,construct,codeswitching,Code-switching,400,404,0.004104037,0.004141721,-3.7683e-05,62,spine-year,curated
2016-12-31,construct,ox_etymology,Etymology,398,418,0.004083517,0.004285246,-0.000201728,63,spine-year,openalex
2016-12-31,construct,ox_vocabulary_learning,Vocabulary Learning,394,378,0.004042477,0.003875174,0.000167303,64,spine-year,openalex
2016-12-31,construct,ox_bilingual_education,Bilingual Education,378,286,0.003878315,0.00293201,0.000946305,65,spine-year,openalex
2016-12-31,construct,ox_linguistic_diversity,Linguistic Diversity,358,339,0.003673113,0.003475355,0.000197759,66,spine-year,openalex
2016-12-31,construct,ox_verb_morphology,Verb Morphology,358,354,0.003673113,0.003629131,4.3982e-05,67,spine-year,openalex
2016-12-31,construct,ox_political_discourse,Political Discourse,357,369,0.003662853,0.003782908,-0.000120055,68,spine-year,openalex
2016-12-31,construct,second_language_writing,Second language writing,348,344,0.003570512,0.003526614,4.3899e-05,69,spine-year,curated
2016-12-31,construct,usage_based,Usage-based approaches,334,353,0.003426871,0.00361888,-0.000192009,70,spine-year,curated
2016-12-31,construct,ox_text_linguistics,Text Linguistics,332,354,0.003406351,0.003629131,-0.00022278,71,spine-year,openalex
2016-12-31,construct,ox_construction_grammar,Construction Grammar,331,342,0.003396091,0.00350611,-0.000110019,72,spine-year,openalex
2016-12-31,construct,ox_linguistic_competence,Linguistic Competence,330,362,0.003385831,0.003711146,-0.000325315,73,spine-year,openalex
2016-12-31,construct,ox_semantic_changes,Semantic Changes,322,363,0.00330375,0.003721398,-0.000417647,74,spine-year,openalex
2016-12-31,construct,ox_humanities,Humanities,320,285,0.00328323,0.002921758,0.000361471,75,spine-year,openalex
2016-12-31,construct,ox_subtitling,Subtitling,318,264,0.00326271,0.002706471,0.000556239,76,spine-year,openalex
2016-12-31,construct,ox_language_anxiety,Language Anxiety,304,282,0.003119068,0.002891003,0.000228065,77,spine-year,openalex
2016-12-31,construct,ox_language_evolution,Language Evolution,299,326,0.003067768,0.003342082,-0.000274314,78,spine-year,openalex
2016-12-31,construct,multimodality,Multimodality,294,332,0.003016467,0.003403592,-0.000387125,79,spine-year,curated
2016-12-31,construct,ox_narrative_analysis,Narrative Analysis,288,304,0.002954907,0.003116542,-0.000161635,80,spine-year,openalex
2016-12-31,construct,ox_intercultural_communication,Intercultural Communication,285,310,0.002924127,0.003178053,-0.000253926,81,spine-year,openalex
2016-12-31,construct,ox_literary_theory,Literary Theory,283,267,0.002903606,0.002737226,0.00016638,82,spine-year,openalex
2016-12-31,construct,corpus_linguistics,Corpus linguistics,280,324,0.002872826,0.003321578,-0.000448752,83,spine-year,curated
2016-12-31,construct,ox_historical_linguistics,Historical Linguistics,280,299,0.002872826,0.003065283,-0.000192457,84,spine-year,openalex
2016-12-31,construct,ox_phraseology,Phraseology,274,353,0.002811266,0.00361888,-0.000807614,85,spine-year,openalex
2016-12-31,construct,ox_identity_construction,Identity Construction,270,313,0.002770225,0.003208808,-0.000438583,86,spine-year,openalex
2016-12-31,construct,ox_language_typology,Language Typology,270,282,0.002770225,0.002891003,-0.000120778,87,spine-year,openalex
2016-12-31,construct,ox_textual_analysis,Textual Analysis,268,280,0.002749705,0.002870499,-0.000120794,88,spine-year,openalex
2016-12-31,construct,mixed_methods,Mixed methods,267,249,0.002739445,0.002552694,0.000186751,89,spine-year,curated
2016-12-31,construct,ox_sociolinguistic_variation,Sociolinguistic Variation,258,235,0.002647104,0.002409169,0.000237935,90,spine-year,openalex
2016-12-31,construct,ox_interdisciplinary,Interdisciplinary,253,281,0.002595804,0.002880751,-0.000284948,91,spine-year,openalex
2016-12-31,construct,ox_german_as_a_foreign_language,German as a Foreign Language,252,247,0.002585544,0.002532191,5.3353e-05,92,spine-year,openalex
2016-12-31,construct,linguistic_landscape,Linguistic landscape,251,185,0.002575283,0.00189658,0.000678703,93,spine-year,curated
2016-12-31,construct,ox_indo_european,Indo-European,249,334,0.002554763,0.003424096,-0.000869333,94,spine-year,openalex
2016-12-31,construct,ox_lingua_franca_english,Lingua Franca English,243,213,0.002493203,0.00218363,0.000309573,95,spine-year,openalex
2016-12-31,construct,positioning_theory,Positioning theory,242,268,0.002482943,0.002747478,-0.000264535,96,spine-year,curated
2016-12-31,construct,ox_lexical_influence,Lexical Influence,234,237,0.002400862,0.002429673,-2.8811e-05,97,spine-year,openalex
2016-12-31,construct,ox_saussure,Saussure,233,145,0.002390602,0.001486509,0.000904093,98,spine-year,openalex
2016-12-31,construct,critical_discourse_analysis,Critical discourse analysis,228,220,0.002339301,0.002255392,8.3909e-05,99,spine-year,curated
2016-12-31,construct,ox_cognitive_linguistics,Cognitive Linguistics,226,233,0.002318781,0.002388666,-6.9885e-05,100,spine-year,openalex
2016-12-31,construct,teacher_identity,Language teacher identity,225,209,0.002308521,0.002142623,0.000165898,101,spine-year,curated
2016-12-31,construct,ox_media_discourse,Media Discourse,220,227,0.002257221,0.002327155,-6.9934e-05,102,spine-year,openalex
2016-12-31,construct,learner_identity,Learner identity,219,191,0.00224696,0.001958091,0.00028887,103,spine-year,curated
