year,construct_id,construct,source,papers,corpus_papers,share
2014,ox_language_studies,Language Studies,openalex,7753,89137,0.08697847
2014,ox_learners,Learners,openalex,3792,89137,0.04254126
2014,ox_language_learning,Language Learning,openalex,3640,89137,0.04083602
2014,ox_meaning,Meaning,openalex,3311,89137,0.03714507
2014,ox_language_teaching,Language Teaching,openalex,3196,89137,0.03585492
2014,ox_corpus,Corpus,openalex,2745,89137,0.03079529
2014,ox_grammar,Grammar,openalex,2468,89137,0.02768772
2014,ox_grammaticalization,Grammaticalization,openalex,2189,89137,0.0245577
2014,ox_dialects,Dialects,openalex,1876,89137,0.02104625
2014,ox_language_education,Language Education,openalex,1838,89137,0.02061995
2014,ox_language_change,Language Change,openalex,1835,89137,0.02058629
2014,ox_dictionaries,Dictionaries,openalex,1785,89137,0.02002535
2014,ox_pragmatics,Pragmatics,openalex,1725,89137,0.01935223
2014,ox_morphology,Morphology,openalex,1366,89137,0.01532473
2014,ox_discourse_study,Discourse Study,openalex,1321,89137,0.01481988
2014,ox_bilingual,Bilingual,openalex,1313,89137,0.01473014
2014,ox_bilingualism,Bilingualism,openalex,1313,89137,0.01473014
2014,ox_perception,Perception,openalex,1294,89137,0.01451698
2014,ox_usage,Usage,openalex,1231,89137,0.0138102
2014,ox_syntax,Syntax,openalex,1229,89137,0.01378777
2014,ox_language_acquisition,Language Acquisition,openalex,1173,89137,0.01315952
2014,ox_sociolinguistics,Sociolinguistics,openalex,1151,89137,0.01291271
2014,ox_discourse_analysis,Discourse Analysis,openalex,1146,89137,0.01285661
2014,ox_pedagogy,Pedagogy,openalex,1140,89137,0.0127893
2014,ox_second_language_learning,Second Language Learning,openalex,1099,89137,0.01232934
2014,ox_multilingualism,Multilingualism,openalex,1064,89137,0.01193668
2014,ox_semantics,Semantics,openalex,1054,89137,0.0118245
2014,ox_cultural_translation,Cultural Translation,openalex,941,89137,0.01055678
2014,ox_language_attitudes,Language Attitudes,openalex,940,89137,0.01054556
2014,focus_on_form,Focus on form,curated,932,89137,0.01045582
2014,ox_power,Power,openalex,875,89137,0.00981635
2014,ox_structuralism,Structuralism,openalex,875,89137,0.00981635
2014,language_policy,Language policy,curated,873,89137,0.00979391
2014,ox_teaching_methods,Teaching Methods,openalex,848,89137,0.00951345
2014,ox_terminology,Terminology,openalex,824,89137,0.0092442
2014,world_englishes,World Englishes,curated,809,89137,0.00907592
2014,ox_ideology,Ideology,openalex,808,89137,0.0090647
2014,ox_language_variation,Language Variation,openalex,788,89137,0.00884032
2014,ox_language_contact,Language Contact,openalex,785,89137,0.00880667
2014,ox_indexicality,Indexicality,openalex,713,89137,0.00799892
2014,ox_learning_strategies,Learning Strategies,openalex,670,89137,0.00751652
2014,ox_second_language_acquisition,Second Language Acquisition,openalex,638,89137,0.00715752
2014,ox_literature_analysis,Literature Analysis,openalex,618,89137,0.00693315
2014,ox_literary_translation,Literary Translation,openalex,617,89137,0.00692193
2014,ox_social_interaction,Social Interaction,openalex,592,89137,0.00664146
2014,ox_language_learning_strategies,Language Learning Strategies,openalex,537,89137,0.00602443
2014,ox_language_ideologies,Language Ideologies,openalex,531,89137,0.00595712
2014,language_ideology,Language ideology,curated,531,89137,0.00595712
2014,ox_linguistic_identity,Linguistic Identity,openalex,531,89137,0.00595712
2014,ox_conversation_analysis,Conversation Analysis,openalex,529,89137,0.00593469
2014,ox_social_communication,Social Communication,openalex,527,89137,0.00591225
2014,ox_lexicography,Lexicography,openalex,504,89137,0.00565422
2014,ox_ethnography,Ethnography,openalex,477,89137,0.00535131
2014,ox_indo_european,Indo-European,openalex,457,89137,0.00512694
2014,ox_typology,typology,openalex,453,89137,0.00508207
2014,ox_language_diversity,Language Diversity,openalex,426,89137,0.00477916
2014,ox_foreign_language_education,Foreign Language Education,openalex,425,89137,0.00476794
2014,ox_etymology,Etymology,openalex,384,89137,0.00430798
2014,ox_social_meaning,Social Meaning,openalex,382,89137,0.00428554
2014,ox_minority_languages,Minority Languages,openalex,377,89137,0.00422945
2014,ox_semiotics,Semiotics,openalex,361,89137,0.00404995
2014,codeswitching,Code-switching,curated,345,89137,0.00387045
2014,second_language_writing,Second language writing,curated,344,89137,0.00385923
2014,ox_semantic_changes,Semantic Changes,openalex,338,89137,0.00379192
2014,heritage_language,Heritage language,curated,334,89137,0.00374704
2014,ox_verb_morphology,Verb Morphology,openalex,327,89137,0.00366851
2014,ox_accent,Accent,openalex,315,89137,0.00353389
2014,ox_text_linguistics,Text Linguistics,openalex,307,89137,0.00344414
2014,ox_linguistic_competence,Linguistic Competence,openalex,306,89137,0.00343292
2014,ox_construction_grammar,Construction Grammar,openalex,303,89137,0.00339926
2014,usage_based,Usage-based approaches,curated,303,89137,0.00339926
2014,ox_linguistic_diversity,Linguistic Diversity,openalex,302,89137,0.00338804
2014,ox_political_discourse,Political Discourse,openalex,301,89137,0.00337682
2014,ox_vocabulary_learning,Vocabulary Learning,openalex,296,89137,0.00332073
2014,ox_intercultural_communication,Intercultural Communication,openalex,288,89137,0.00323098
2014,ox_language_evolution,Language Evolution,openalex,287,89137,0.00321976
2014,multimodality,Multimodality,curated,285,89137,0.00319732
2014,ox_historical_linguistics,Historical Linguistics,openalex,270,89137,0.00302905
2014,ox_language_anxiety,Language Anxiety,openalex,269,89137,0.00301783
2014,ox_literary_theory,Literary Theory,openalex,264,89137,0.00296173
2014,ox_subtitling,Subtitling,openalex,264,89137,0.00296173
2014,ox_phraseology,Phraseology,openalex,262,89137,0.0029393
2014,ox_interdisciplinary,Interdisciplinary,openalex,259,89137,0.00290564
2014,corpus_linguistics,Corpus linguistics,curated,257,89137,0.0028832
2014,ox_bilingual_education,Bilingual Education,openalex,239,89137,0.00268127
2014,ox_identity_construction,Identity Construction,openalex,239,89137,0.00268127
2014,ox_language_typology,Language Typology,openalex,237,89137,0.00265883
2014,ox_cognitive_linguistics,Cognitive Linguistics,openalex,236,89137,0.00264761
2014,ox_textual_analysis,Textual Analysis,openalex,228,89137,0.00255786
2014,ox_german_as_a_foreign_language,German as a Foreign Language,openalex,224,89137,0.00251299
2014,ox_narrative_analysis,Narrative Analysis,openalex,224,89137,0.00251299
2014,ox_philology,Philology,openalex,224,89137,0.00251299
2014,ox_lingua_franca_english,Lingua Franca English,openalex,218,89137,0.00244567
2014,ox_turkic,Turkic,openalex,218,89137,0.00244567
2014,study_abroad,Study abroad,curated,211,89137,0.00236714
2014,critical_discourse_analysis,Critical discourse analysis,curated,208,89137,0.00233349
2014,positioning_theory,Positioning theory,curated,203,89137,0.00227739
2014,ox_humanities,Humanities,openalex,197,89137,0.00221008
2014,ox_sociolinguistic_variation,Sociolinguistic Variation,openalex,194,89137,0.00217643
2014,learner_identity,Learner identity,curated,192,89137,0.00215399
2014,mixed_methods,Mixed methods,curated,183,89137,0.00205302
2014,ox_neologisms,Neologisms,openalex,183,89137,0.00205302
2014,ox_semantic_relations,Semantic Relations,openalex,183,89137,0.00205302
2014,task_based,Task-based language teaching,curated,183,89137,0.00205302
2014,ox_lexical_influence,Lexical Influence,openalex,181,89137,0.00203058
2014,ox_lexical_semantics,Lexical Semantics,openalex,178,89137,0.00199693
2014,pragmatic_competence,Pragmatic competence,curated,167,89137,0.00187352
2014,ox_media_discourse,Media Discourse,openalex,163,89137,0.00182865
2014,ox_politeness_strategies,Politeness Strategies,openalex,158,89137,0.00177255
2014,ox_turn_taking,Turn-Taking,openalex,153,89137,0.00171646
2014,ox_cross_cultural_communication,Cross-Cultural Communication,openalex,152,89137,0.00170524
2014,ox_standardization_of_language,Standardization of Language,openalex,152,89137,0.00170524
2014,corrective_feedback,Corrective feedback,curated,151,89137,0.00169402
2014,ox_youth_language,Youth Language,openalex,148,89137,0.00166037
2014,ox_saussure,Saussure,openalex,147,89137,0.00164915
2014,ox_literary_tradition,Literary Tradition,openalex,146,89137,0.00163793
2014,ox_ontologies,Ontologies,openalex,143,89137,0.00160427
2014,ox_language_rights,Language Rights,openalex,142,89137,0.00159305
2014,ox_cognitive_grammar,Cognitive Grammar,openalex,140,89137,0.00157062
2014,ox_l2_motivation,L2 Motivation,openalex,140,89137,0.00157062
2014,teacher_identity,Language teacher identity,curated,140,89137,0.00157062
2014,linguistic_landscape,Linguistic landscape,curated,138,89137,0.00154818
2014,ox_proto_indo_european,Proto-Indo-European,openalex,130,89137,0.00145843
2014,intercultural_competence,Intercultural competence,curated,128,89137,0.00143599
2014,ox_specialized_language,Specialized Language,openalex,126,89137,0.00141355
2014,ox_interactional_linguistics,Interactional Linguistics,openalex,123,89137,0.0013799
2014,ox_speech_perception,Speech Perception,openalex,123,89137,0.0013799
2014,ox_linguistic_borrowing,Linguistic Borrowing,openalex,120,89137,0.00134624
2014,ox_occitan,Occitan,openalex,120,89137,0.00134624
2014,ox_politeness_theory,Politeness Theory,openalex,118,89137,0.0013238
2014,ox_dialectology,Dialectology,openalex,116,89137,0.00130137
2014,ox_historical_phonology,Historical Phonology,openalex,108,89137,0.00121162
2014,ox_universal_grammar,Universal Grammar,openalex,108,89137,0.00121162
2014,intelligibility,Intelligibility,curated,107,89137,0.0012004
2014,language_revitalization,Language revitalization,curated,107,89137,0.0012004
2014,ox_audiovisual_translation,Audiovisual Translation,openalex,106,89137,0.00118918
2014,ox_media_influence,Media Influence,openalex,104,89137,0.00116674
2014,ox_troubadours,Troubadours,openalex,103,89137,0.00115552
